Ship Code;Lpp min;Ntotal;E(L);std(L);E(Cb);StDev(Cb);E(L/B);StDev(L/B);E(B/D);StDev(B/D);E(D/T);StDev(D/T);E(V);StDev(V);Bulb pct;E(DWT);std(DWT);E(Fuel);std(Fuel)
1;-1;1985;245;57;0.67;0.32;5.68;0.46;1.96;0.18;1.43;0.09;14.8;0.95;0.98;145360;94716;4057;2.226.702.213
1;0;0;;;;;;;;;;;;;0.00;;;;
1;25;6;40;6;0.12;0.28;5.12;0.61;2.40;0.21;1.10;0.05;;;0.00;448;104;;
1;50;26;65;7;0.20;0.35;5.87;0.60;2.29;0.37;1.14;0.10;11.3;0.75;0.89;1702;473;759;4.956.552.061
1;75;40;89;8;0.20;0.34;6.26;0.35;2.04;0.11;1.16;0.05;12.4;0.95;0.88;4227;1183;233;1.034.395.279
1;100;7;117;7;0.84;0.05;6.94;0.70;2.23;0.26;1.52;0.11;12.1;1.02;1.00;6076;1649;470;1.602.081.979
1;125;16;140;7;0.64;0.32;6.33;0.73;2.10;0.31;1.37;0.11;13.9;1.89;0.30;15796;4964;1083;3.833.149.652
1;150;154;169;6;0.67;0.30;5.63;0.36;1.79;0.18;1.49;0.09;14.4;0.62;0.99;39717;8420;1637;3.200.283.255
1;175;51;184;7;0.58;0.36;6.00;0.38;1.81;0.15;1.44;0.07;14.6;0.68;0.96;45372;5666;1922;4.651.518.828
1;200;225;218;5;0.70;0.31;6.28;0.73;1.80;0.24;1.46;0.07;14.6;0.90;0.97;74765;14120;2485;558.173.396
1;225;616;234;4;0.70;0.30;5.61;0.31;2.02;0.12;1.45;0.06;14.7;0.73;1.00;103116;10715;3194;6.398.094.802
1;250;336;262;4;0.72;0.28;5.60;0.26;2.01;0.13;1.41;0.05;14.9;0.63;1.00;151895;11530;4006;7.377.936.966
1;275;9;284;5;0.64;0.36;5.88;0.29;2.02;0.10;1.39;0.08;14.8;1.43;1.00;173091;26294;5287;2.095.442.178
1;300;479;317;4;0.66;0.33;5.43;0.12;1.96;0.11;1.42;0.06;15.4;0.72;0.96;292283;19387;7136;1.590.674.784
1;325;16;328;2;0.78;0.21;5.76;0.22;1.85;0.11;1.40;0.04;14.7;0.58;1.00;305692;15781;7683;2.202.072.818
1;350;4;366;0;0.83;0.03;5.38;0.00;2.19;0.12;1.29;0.12;16.1;0.25;1.00;441816;159;11784;7.059.098.381
1;375;0;;;;;;;;;;;;;0.00;;;;
1;400;0;;;;;;;;;;;;;0.00;;;;
2;-1;5207;115;50;0.42;0.40;5.87;0.76;2.03;0.38;1.32;0.17;13.2;1.88;0.84;17412;21818;1060;8.290.870.943
2;0;122;24;1;0.00;0.00;3.43;0.45;2.31;0.49;1.25;0.13;11.2;2.20;0.44;3469;5774;601;9.634.002.661
2;25;477;39;6;0.17;0.31;4.81;0.70;2.45;0.38;1.15;0.12;9.6;1.41;0.30;531;300;25;4.280.243.559
2;50;900;65;7;0.19;0.33;5.72;0.64;2.32;0.49;1.17;0.17;11.2;1.41;0.58;1795;725;104;9.694.359.276
2;75;1079;89;8;0.32;0.38;5.97;0.52;2.03;0.19;1.25;0.11;12.7;1.15;0.89;4543;1390;301;1.580.719.923
2;100;738;111;7;0.46;0.39;6.24;0.87;2.00;0.33;1.33;0.13;13.1;1.27;0.85;8521;2865;602;2.528.905.798
2;125;391;137;7;0.56;0.37;6.42;0.85;1.96;0.29;1.38;0.09;13.8;1.49;0.82;15508;4630;823;3.617.652.582
2;150;968;169;6;0.63;0.33;5.67;0.44;1.79;0.17;1.49;0.11;14.7;0.65;0.98;38721;8598;1684;4.003.896.165
2;175;283;178;5;0.61;0.35;5.97;0.48;1.77;0.19;1.47;0.08;14.9;0.68;0.77;42139;5966;1721;5.952.224.046
2;200;178;218;3;0.70;0.33;6.70;0.32;1.62;0.16;1.46;0.09;14.9;0.82;1.00;73326;6138;2524;4.020.475.056
2;225;68;235;3;0.63;0.36;5.65;0.37;1.97;0.14;1.48;0.08;14.9;0.64;0.98;103256;10877;3036;5.115.991.152
2;250;2;264;0;0.85;0.04;5.28;0.00;2.16;0.00;1.40;0.06;15.6;0.00;1.00;164587;40;;
2;275;1;279;;0.94;;6.27;;1.87;;1.82;;15.0;;0.00;127003;;8270;
2;300;0;;;;;;;;;;;;;0.00;;;;
2;325;0;;;;;;;;;;;;;0.00;;;;
2;350;0;;;;;;;;;;;;;0.00;;;;
2;375;0;;;;;;;;;;;;;0.00;;;;
2;400;0;;;;;;;;;;;;;0.00;;;;
3;-1;1281;86;39;0.33;0.42;6.10;1.20;2.14;0.30;1.25;0.18;12.6;2.13;0.68;6303;9758;833;7.334.178.153
3;0;65;20;2;0.00;0.00;3.57;0.77;2.41;0.56;1.32;0.28;11.3;1.80;0.29;2300;4561;362;6.489.703.494
3;25;267;42;6;0.21;0.33;5.15;0.56;2.31;0.27;1.13;0.14;9.7;1.24;0.30;527;189;42;5.190.245.076
3;50;326;61;6;0.29;0.35;5.85;0.35;2.22;0.18;1.12;0.07;11.4;0.93;0.57;1343;463;96;4.468.826.997
3;75;207;86;7;0.33;0.38;6.40;0.88;2.12;0.27;1.30;0.15;12.5;1.21;0.77;3686;1575;245;1.331.307.791
3;100;204;110;6;0.34;0.38;7.28;1.71;2.02;0.23;1.38;0.15;13.4;1.49;0.67;6859;3533;660;4.003.624.752
3;125;117;135;6;0.47;0.75;6.48;1.42;1.93;0.28;1.36;0.09;14.6;1.30;0.93;15970;5179;1114;3.155.489.425
3;150;83;164;6;0.51;0.38;5.84;0.46;1.89;0.22;1.42;0.10;15.1;1.01;1.00;31939;7175;1870;5.050.311.235
3;175;11;182;8;0.64;0.32;5.67;0.25;1.97;0.31;1.47;0.17;16.8;2.53;1.00;41849;5034;2166;4.143.648.605
3;200;0;;;;;;;;;;;;;0.00;;;;
3;225;1;232;;0.82;;5.52;;1.98;;1.45;;15.4;;1.00;102741;;2783;
3;250;0;;;;;;;;;;;;;0.00;;;;
3;275;0;;;;;;;;;;;;;0.00;;;;
3;300;0;;;;;;;;;;;;;0.00;;;;
3;325;0;;;;;;;;;;;;;0.00;;;;
3;350;0;;;;;;;;;;;;;0.00;;;;
3;375;0;;;;;;;;;;;;;0.00;;;;
3;400;0;;;;;;;;;;;;;0.00;;;;
4;-1;1037;139;76;0.41;0.37;5.82;0.51;1.95;0.32;1.56;0.37;15.1;2.78;0.92;23229;28457;1868;2.049.543.496
4;0;3;;;;;;;2.13;0.08;1.74;0.74;12.2;1.63;1.00;1471;290;;
4;25;21;44;7;0.18;0.31;4.63;0.61;2.83;0.57;1.31;0.24;10.2;1.15;0.80;412;143;40;1.807.205.293
4;50;211;63;5;0.23;0.33;5.36;0.31;2.21;0.18;1.23;0.10;12.2;0.83;0.82;1256;561;187;8.904.261.889
4;75;261;90;5;0.40;0.37;5.74;0.45;2.12;0.24;1.37;0.17;13.3;0.91;0.94;3692;1001;507;1.734.678.155
4;100;131;110;7;0.44;0.37;6.14;0.54;1.83;0.26;1.40;0.20;14.9;1.05;0.90;7144;1668;772;241.496.709
4;125;55;142;8;0.56;0.32;6.14;0.67;1.66;0.16;1.55;0.23;16.0;1.09;0.82;16569;5656;1474;5.150.929.145
4;150;56;163;7;0.58;0.34;6.02;0.24;1.57;0.07;1.66;0.16;16.2;0.67;1.00;26156;4313;2171;4.130.788.331
4;175;11;191;6;0.66;0.33;6.17;0.29;1.60;0.05;1.73;0.12;16.4;1.20;1.00;38738;7912;3165;6.697.261.422
4;200;107;215;6;0.57;0.34;6.01;0.18;1.73;0.14;1.81;0.16;16.6;0.74;0.93;51358;5349;2992;9.137.325.097
4;225;3;230;6;0.47;0.41;5.99;0.59;1.51;0.03;2.22;0.37;17.7;1.44;1.00;51283;4236;;
4;250;129;268;5;0.44;0.36;6.07;0.28;1.72;0.11;2.17;0.14;19.7;0.69;1.00;75299;5185;6283;1.635.351.461
4;275;49;278;3;0.32;0.36;6.04;0.27;1.78;0.11;2.22;0.13;19.6;0.54;1.00;75993;5732;5237;1.879.367.571
4;300;0;;;;;;;;;;;;;0.00;;;;
4;325;0;;;;;;;;;;;;;0.00;;;;
4;350;0;;;;;;;;;;;;;0.00;;;;
4;375;0;;;;;;;;;;;;;0.00;;;;
4;400;0;;;;;;;;;;;;;0.00;;;;
5;-1;4678;176;66;0.27;0.33;6.48;0.87;1.84;0.25;1.48;0.17;19.8;3.57;0.99;29692;25968;3034;2.711.852.385
5;0;101;23;0;0.26;0.36;3.47;0.00;1.76;0.21;1.54;0.17;22.2;4.00;1.00;51172;37450;3727;4.032.524.589
5;25;25;40;7;0.11;0.25;4.83;0.75;2.06;0.26;1.35;0.17;11.5;1.74;0.00;321;250;60;6.048.191.879
5;50;94;65;6;0.10;0.25;5.43;0.65;2.25;0.59;1.36;0.34;12.5;1.11;0.85;1571;694;301;1.847.483.471
5;75;370;89;7;0.24;0.34;5.67;0.45;2.08;0.42;1.37;0.21;14.2;1.54;0.96;4006;1438;560;293.570.144
5;100;615;114;7;0.26;0.33;6.01;0.58;1.93;0.22;1.37;0.11;16.3;1.39;0.99;7722;1974;861;3.732.611.322
5;125;886;137;7;0.26;0.32;6.17;0.42;1.89;0.20;1.41;0.11;18.6;1.53;0.99;11913;2861;1393;4.373.846.269
5;150;669;162;8;0.31;0.33;6.09;0.42;1.89;0.12;1.44;0.10;19.0;1.46;1.00;21659;3861;1995;509.664.768
5;175;517;190;7;0.21;0.30;6.34;0.40;1.80;0.13;1.50;0.12;20.8;1.70;1.00;31834;5157;3013;8.042.207.871
